unitName,unitDesc,unitAbbr,unitAbbrMathJax,unitType,parentSI,multiplierToSI,constantToSI,measScale,referenceURL,referenceCitation,startUseDateDPS
centigram,"0.00001 kilograms",cg,"$$ cg $$",mass,kilogram,0.00001,NULL,ratio,NULL,NULL,2012-01-01
centimeter,"0.01 meters",cm,"$$ cm $$",length,meter,0.01,NULL,ratio,NULL,NULL,2012-01-01
centimetersPerSecond,"centimeters per second",cm/s,"$$ cm{cdot}s^{-1} $$",speed,metersPerSecond,0.01,NULL,ratio,NULL,NULL,2012-01-01
centimetersPerYear,"centimeters per year",cm/y,"$$ cm{cdot}y^{-1} $$",speed,metersPerSecond,0.000000000317098,NULL,ratio,NULL,NULL,2012-01-01
centimolesPerKilogram,"centimoles per kilogram",cmol/kg,"$$ cmol{cdot}kg^{-1} $$",amountOfSubstanceWeight,molesPerKilogram,0.01,NULL,ratio,NULL,NULL,2015-02-18
centisecond,"0.01 seconds",cs,"$$ cs $$",time,second,0.01,NULL,ratio,NULL,NULL,2012-01-01
coulomb,"SI unit of charge",C,"$$ C $$",charge,coulomb,1,NULL,ratio,NULL,NULL,2012-01-01
cubicCentimeter,"cubic centimeter",cm^3,"$$ cm^3 $$",volume,cubicMeter,0.000001,NULL,ratio,NULL,NULL,2015-02-18
cubicCentimetersPerCubicCentimeter,"cubic centimeters per cubic centimeter",cm^3/cm^3,"$$ cm^3{cdot}cm^{-3} $$",volumePerVolume,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
cubicCentimetersPerCubicCentimeterSquared,"cubic centimeters per cubic centimeter squared",(cm^3/cm^3)^2,"$$ (cm^3{cdot}cm^{-3})^2 $$",volumePerVolume,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
cubicFeetPerSecond,"cubic feet per second",ft^3/sec,"$$ ft^3{cdot}s^{-1} $$",volumetricRate,litersPerSecond,28.3169,NULL,ratio,NULL,NULL,2012-01-01
cubicInch,"cubic inch",in^3,"$$ in^3 $$",volume,liter,0.0000163871,NULL,ratio,NULL,NULL,2012-01-01
